minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1810.08776855,1786.68969727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
1,1,1810.08776855,1786.68969727,0,0,4,5,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,-1,0,0,0,L
2,1,1810.08776855,1786.68969727,0,0,-1,-1,-1,-4,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,0,0,0,L
3,1,1810.08776855,1786.68969727,0,0,-1,-1,-1,-6,-1,-1,-1,0,-1,-1,0,0,0,0,-2,0,0,1,1,0,0,0,L
4,1,1810.08776855,1786.68969727,0,0,-11,-10,-2,-12,-1,-2,-1,0,-1,-1,0,0,0,-1,-3,-1,0,1,3,0,0,0,L
5,1,1810.08776855,1786.68969727,0,0,-20,-19,-1,-12,-1,-2,-1,0,-1,-1,0,0,0,-1,-4,-1,0,1,3,0,0,0,L
6,1,1810.08776855,1786.68969727,0,0,-24,-22,-2,-12,-1,-2,-1,0,-1,-1,0,0,0,-1,-4,-1,0,1,3,0,0,0,L
7,1,1810.08776855,1786.68969727,0,0,-25,-22,-2,-14,-1,-2,-1,0,-1,-1,0,0,0,-1,-4,-1,0,1,3,0,0,0,L
8,1,1810.08776855,1786.68969727,0,0,-20,-17,-3,-16,-1,-2,-1,0,-1,-1,0,0,0,-1,-5,-1,0,1,3,0,0,0,L
9,1,1810.08776855,1786.68969727,0,0,-22,-19,-3,-16,0,-1,-1,0,0,-1,1,1,0,-1,-6,-1,0,1,3,0,0,0,L
10,1,1810.08776855,1786.68969727,0,0,-24,-21,-3,-16,0,-1,-1,0,0,-1,1,1,0,-1,-6,-1,0,1,3,0,1,0,L
11,1,1810.08776855,1786.68969727,0,0,-24,-21,-3,-17,0,-1,-1,0,0,-1,1,1,0,0,-6,-1,-1,1,3,0,1,0,L
12,1,1810.08776855,1786.68969727,0,0,-24,-21,-3,-17,0,-1,-1,0,0,-1,1,1,0,0,-6,-1,-1,1,3,0,0,0,L
13,1,1810.08776855,1786.68969727,0,0,-30,-27,-3,-16,0,-1,-1,0,0,-1,1,1,0,0,-6,-1,-1,1,3,1,0,0,L
14,1,1810.08776855,1786.68969727,0,0,-26,-23,-1,-17,0,-1,-1,0,0,-1,1,1,0,0,-7,-1,-1,1,4,1,0,0,L
15,1,1810.08776855,1786.68969727,0,0,-27,-25,0,-14,0,-1,-1,0,0,-1,1,1,0,0,-7,-1,-1,1,3,1,0,0,L
16,1,1810.08776855,1786.68969727,0,0,-33,-30,-1,-14,0,-1,-1,0,0,-1,1,1,0,0,-8,-2,-1,1,3,1,0,0,L
