match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1284741,2018-08-12,Arsenal,Man City,13,167,1824.0012207,1974.96166992
1284742,2018-08-11,Bournemouth,Cardiff,183,188,1673.78051758,1576.49035645
1284743,2018-08-11,Fulham,Crystal Palace,170,162,1633.79968262,1692.95166016
1284744,2018-08-11,Huddersfield,Chelsea,166,15,1567.10131836,1837.00427246
1284745,2018-08-12,Liverpool,West Ham,26,29,1917.3302002,1673.73278809
1284746,2018-08-10,Man United,Leicester,32,14,1884.5333252,1697.0970459
1284747,2018-08-11,Newcastle,Tottenham,23,30,1670.87133789,1914.84887695
1284748,2018-08-12,Southampton,Burnley,18,184,1653.50097656,1692.93078613
1284749,2018-08-11,Watford,Brighton,27,211,1626.43530273,1632.8684082
1284750,2018-08-11,Wolves,Everton,161,31,1593.07910156,1699.56262207
1284751,2018-08-19,Brighton,Man United,211,32,1626.33166504,1890.36889648
1284752,2018-08-19,Burnley,Watford,184,27,1704.69567871,1638.45556641
1284753,2018-08-18,Cardiff,Newcastle,188,23,1573.3782959,1669.71362305
1284754,2018-08-18,Chelsea,Arsenal,15,13,1845.78881836,1818.83764648
1284755,2018-08-20,Crystal Palace,Liverpool,162,26,1707.32080078,1923.82275391
1284756,2018-08-18,Everton,Southampton,31,18,1701.18139648,1655.48693848
1284757,2018-08-18,Leicester,Wolves,14,161,1697.54724121,1596.94384766
1284758,2018-08-19,Man City,Huddersfield,167,166,1985.60876465,1563.8001709
1284759,2018-08-18,Tottenham,Fulham,30,170,1921.48999023,1624.9140625
1284760,2018-08-18,West Ham,Bournemouth,29,183,1672.72375488,1682.37609863
1284761,2018-08-25,Arsenal,West Ham,13,29,1809.38305664,1659.75830078
1284762,2018-08-25,Bournemouth,Everton,183,31,1687.83105469,1702.81530762
1284763,2018-08-26,Fulham,Burnley,170,184,1619.11645508,1673.13830566
1284764,2018-08-25,Huddersfield,Cardiff,166,188,1558.46765137,1570.50268555
1284765,2018-08-25,Liverpool,Brighton,26,211,1926.13427734,1635.78442383
1284766,2018-08-27,Man United,Tottenham,32,30,1873.40563965,1919.77722168
1284767,2018-08-26,Newcastle,Chelsea,23,15,1665.07873535,1847.73303223
1284768,2018-08-25,Southampton,Leicester,18,14,1646.34265137,1699.57006836
1284769,2018-08-26,Watford,Crystal Palace,27,162,1651.18737793,1697.4987793
1284770,2018-08-25,Wolves,Man City,161,167,1587.41052246,1983.4309082
1284771,2018-09-01,Brighton,Fulham,211,170,1631.77893066,1627.83398438
1284772,2018-09-02,Burnley,Man United,184,32,1651.97192383,1856.07958984
1284773,2018-09-02,Cardiff,Arsenal,188,13,1569.52514648,1811.31616211
1284774,2018-09-01,Chelsea,Bournemouth,15,183,1850.36499023,1683.92297363
1284775,2018-09-01,Crystal Palace,Southampton,162,18,1687.42492676,1635.48791504
1284776,2018-09-01,Everton,Huddersfield,31,166,1701.75463867,1554.47644043
1284777,2018-09-01,Leicester,Liverpool,14,26,1705.45605469,1925.17114258
1284778,2018-09-01,Man City,Newcastle,167,23,1973.53356934,1657.47814941
1284779,2018-09-02,Watford,Tottenham,27,30,1656.29248047,1932.13452148
1284780,2018-09-01,West Ham,Wolves,29,161,1652.85656738,1592.3392334
1284781,2018-09-15,Bournemouth,Leicester,183,14,1679.80859375,1701.3458252
1284782,2018-09-15,Chelsea,Cardiff,15,188,1854.47924805,1565.7277832
1284783,2018-09-16,Everton,West Ham,31,29,1696.31591797,1641.6151123
1284784,2018-09-15,Huddersfield,Crystal Palace,166,162,1559.91516113,1671.54382324
1284785,2018-09-15,Man City,Fulham,167,170,1974.85668945,1629.77966309
1284786,2018-09-15,Newcastle,Arsenal,23,13,1656.15490723,1815.11352539
1284787,2018-09-17,Southampton,Brighton,18,211,1651.36914062,1629.83312988
1284788,2018-09-15,Tottenham,Liverpool,30,26,1918.99401855,1929.28137207
1284789,2018-09-15,Watford,Man United,27,32,1669.4329834,1862.8314209
1284790,2018-09-16,Wolves,Burnley,161,184,1603.58068848,1645.2199707
1284791,2018-09-23,Arsenal,Everton,13,31,1820.64978027,1679.23352051
1284792,2018-09-22,Brighton,Tottenham,211,30,1630.77624512,1898.22277832
1284793,2018-09-22,Burnley,Bournemouth,184,183,1636.1015625,1687.90441895
1284794,2018-09-22,Cardiff,Man City,188,167,1561.54931641,1960.09777832
1284795,2018-09-22,Crystal Palace,Newcastle,162,23,1677.04272461,1649.19812012
