minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,final_3rd_pass,key_pass,corner,big_chance,shot,red,result
0,1,1715.14331055,1933.93579102,0,0,0,0,0,0,0,0,0,L
1,1,1715.14331055,1933.93579102,0,0,-3,-1,0,0,0,0,0,L
2,1,1715.14331055,1933.93579102,0,0,-8,-1,0,0,0,0,0,L
3,1,1715.14331055,1933.93579102,0,0,-4,-3,0,0,0,0,0,L
4,1,1715.14331055,1933.93579102,0,0,1,-1,0,0,0,0,0,L
5,1,1715.14331055,1933.93579102,0,0,9,-1,0,0,0,0,0,L
6,1,1715.14331055,1933.93579102,0,0,4,-1,0,0,0,0,0,L
7,1,1715.14331055,1933.93579102,0,0,2,-2,1,0,0,1,0,L
8,1,1715.14331055,1933.93579102,0,0,-12,-9,1,0,0,1,0,L
9,1,1715.14331055,1933.93579102,0,0,-12,-13,1,0,0,0,0,L
10,1,1715.14331055,1933.93579102,0,0,-15,-11,1,0,0,0,0,L
11,1,1715.14331055,1933.93579102,0,0,-21,-16,0,0,0,-1,0,L
12,1,1715.14331055,1933.93579102,0,0,-25,-16,0,-1,0,-1,0,L
13,1,1715.14331055,1933.93579102,0,0,-20,-13,0,-1,0,-1,0,L
14,1,1715.14331055,1933.93579102,0,0,-17,-12,0,-1,0,-1,0,L
15,1,1715.14331055,1933.93579102,0,0,-4,-9,0,-1,0,-1,0,L
16,1,1715.14331055,1933.93579102,0,0,-7,-7,0,-1,0,-1,0,L
17,1,1715.14331055,1933.93579102,0,0,-23,-16,-1,-1,0,-2,0,L
18,1,1715.14331055,1933.93579102,0,0,-26,-19,-1,-1,0,-2,0,L
19,1,1715.14331055,1933.93579102,0,0,-35,-21,-1,-1,0,-2,0,L
20,1,1715.14331055,1933.93579102,0,0,-34,-23,-2,-1,-1,-3,0,L
21,1,1715.14331055,1933.93579102,0,0,-30,-22,-2,-1,-1,-3,0,L
22,1,1715.14331055,1933.93579102,0,0,-46,-23,-2,-1,-1,-3,0,L
23,1,1715.14331055,1933.93579102,0,0,-55,-26,-2,-1,-1,-3,0,L
24,1,1715.14331055,1933.93579102,0,0,-55,-26,-2,-1,-1,-3,0,L
25,1,1715.14331055,1933.93579102,0,0,-55,-26,-2,-1,-1,-3,0,L
26,1,1715.14331055,1933.93579102,0,0,-73,-36,-2,-1,-1,-3,0,L
27,1,1715.14331055,1933.93579102,0,0,-76,-36,-2,-1,-1,-3,0,L
28,1,1715.14331055,1933.93579102,0,0,-80,-41,-2,-1,-1,-3,0,L
29,1,1715.14331055,1933.93579102,0,0,-84,-44,-2,-2,-1,-3,0,L
30,1,1715.14331055,1933.93579102,0,0,-88,-46,-2,-2,-1,-3,0,L
31,1,1715.14331055,1933.93579102,0,0,-79,-38,-2,-2,-1,-3,0,L
32,1,1715.14331055,1933.93579102,0,0,-85,-37,-2,-2,-1,-3,0,L
33,1,1715.14331055,1933.93579102,0,0,-91,-38,-2,-2,-1,-3,0,L
34,1,1715.14331055,1933.93579102,0,0,-105,-44,-2,-2,-1,-3,0,L
35,1,1715.14331055,1933.93579102,0,0,-118,-48,-2,-2,-1,-3,0,L
36,1,1715.14331055,1933.93579102,0,0,-115,-48,-2,-2,-1,-3,0,L
37,1,1715.14331055,1933.93579102,0,0,-122,-49,-3,-2,-1,-4,0,L
38,1,1715.14331055,1933.93579102,0,0,-122,-48,-3,-2,-1,-4,0,L
39,1,1715.14331055,1933.93579102,0,0,-122,-45,-2,0,-1,-3,0,L
40,1,1715.14331055,1933.93579102,0,0,-113,-35,-2,1,-1,-3,0,L
41,1,1715.14331055,1933.93579102,0,0,-115,-36,-2,1,-1,-3,0,L
42,1,1715.14331055,1933.93579102,0,0,-115,-36,-2,1,-1,-3,0,L
43,1,1715.14331055,1933.93579102,0,0,-118,-37,-2,1,-1,-3,0,L
44,1,1715.14331055,1933.93579102,0,0,-127,-40,-2,1,-1,-3,0,L
