ht_goal,at_goal,ht_elo,at_elo,shot,big_chance,shot_penalty_box,key_pass,pass,short_pass,shot_open_play,final_3rd_pass,minute,shot_6_yard_box,dispossessed,clearance,long_pass,cross,shot_fast_break,tackle,result
0,0,1661.11230469,1723.8692627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,1661.11230469,1723.8692627,0,0,0,0,4,3,0,6,1,0,0,-4,1,0,0,0,D
0,0,1661.11230469,1723.8692627,0,0,0,0,2,1,0,10,2,0,0,-4,1,1,0,0,D
0,0,1661.11230469,1723.8692627,0,0,0,0,22,21,0,10,3,0,0,-4,1,1,0,0,D
0,0,1661.11230469,1723.8692627,0,0,0,0,20,18,0,13,4,0,0,-4,2,1,0,0,D
0,0,1661.11230469,1723.8692627,0,0,0,0,13,12,0,10,5,0,0,-4,2,1,0,0,D
0,0,1661.11230469,1723.8692627,1,0,0,1,25,23,1,16,6,0,0,-4,2,1,0,0,D
0,0,1661.11230469,1723.8692627,1,0,0,1,32,30,1,17,7,0,0,-5,1,2,0,0,D
0,0,1661.11230469,1723.8692627,2,0,0,2,29,26,2,20,8,0,0,-5,2,3,0,0,D
0,0,1661.11230469,1723.8692627,2,0,0,2,10,8,2,14,9,0,0,-5,1,3,0,0,D
0,0,1661.11230469,1723.8692627,1,0,0,1,1,1,1,8,10,0,0,-4,-2,3,0,0,D
0,0,1661.11230469,1723.8692627,1,0,0,1,1,0,1,9,11,0,0,-4,-1,3,0,0,D
0,0,1661.11230469,1723.8692627,1,0,0,1,-15,-16,1,9,12,0,0,-4,-1,3,0,0,D
0,0,1661.11230469,1723.8692627,2,0,0,2,-3,-5,2,12,13,0,0,-4,0,3,0,0,D
0,0,1661.11230469,1723.8692627,2,0,0,2,-10,-11,2,12,14,0,0,-4,0,3,0,0,D
0,0,1661.11230469,1723.8692627,2,0,0,2,-8,-9,2,14,15,0,0,-5,0,3,0,0,D
0,0,1661.11230469,1723.8692627,3,0,1,3,-7,-8,2,17,16,0,0,-7,0,4,0,0,D
0,0,1661.11230469,1723.8692627,4,0,2,4,-10,-11,3,18,17,0,1,-7,0,4,0,1,D
0,0,1661.11230469,1723.8692627,4,0,2,4,-20,-21,3,18,18,0,1,-7,0,4,0,1,D
0,0,1661.11230469,1723.8692627,3,0,2,3,-37,-36,2,11,19,0,1,-6,-3,4,0,1,D
0,0,1661.11230469,1723.8692627,3,0,2,3,-24,-24,2,15,20,0,2,-6,-2,4,0,1,D
0,0,1661.11230469,1723.8692627,3,0,2,3,-15,-14,2,15,21,0,1,-6,-3,4,0,2,D
0,0,1661.11230469,1723.8692627,3,0,2,3,-13,-12,2,12,22,0,1,-6,-3,4,0,2,D
0,0,1661.11230469,1723.8692627,3,0,2,3,-4,-3,2,16,23,0,1,-6,-3,4,0,2,D
0,0,1661.11230469,1723.8692627,4,0,2,3,-9,-8,3,16,24,0,1,-6,-4,4,0,2,D
0,0,1661.11230469,1723.8692627,4,0,2,2,-20,-19,3,14,25,0,1,-6,-4,4,0,2,D
0,0,1661.11230469,1723.8692627,3,0,1,2,-23,-21,2,13,26,0,1,-6,-4,4,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-21,-19,0,12,27,0,1,-6,-4,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-26,-24,0,13,28,0,1,-6,-5,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-43,-40,0,13,29,0,1,-6,-6,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-44,-41,0,13,30,0,1,-6,-7,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-41,-38,0,12,31,0,1,-6,-8,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-37,-34,0,14,32,0,1,-7,-8,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-50,-45,0,15,33,0,1,-7,-10,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-70,-65,0,12,34,0,1,-7,-11,3,0,2,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-81,-75,0,4,35,0,1,-6,-12,1,0,1,D
0,0,1661.11230469,1723.8692627,1,0,-1,2,-86,-80,0,4,36,0,1,-6,-11,1,0,1,D
0,0,1661.11230469,1723.8692627,2,0,0,3,-85,-79,1,5,37,0,1,-6,-11,1,0,1,D
0,0,1661.11230469,1723.8692627,2,0,0,3,-88,-81,1,7,38,0,1,-6,-12,1,0,1,D
0,0,1661.11230469,1723.8692627,2,0,0,3,-95,-88,1,7,39,0,1,-6,-13,2,0,1,D
0,0,1661.11230469,1723.8692627,2,0,0,3,-95,-88,1,7,40,0,1,-6,-13,2,0,1,D
0,1,1661.11230469,1723.8692627,1,0,-1,2,-89,-82,0,11,41,0,1,-6,-13,3,0,1,D
0,1,1661.11230469,1723.8692627,1,0,-1,2,-89,-82,0,11,42,0,1,-6,-13,3,0,1,D
0,1,1661.11230469,1723.8692627,1,0,-1,2,-79,-72,0,14,43,0,1,-7,-13,4,0,0,D
0,1,1661.11230469,1723.8692627,1,0,-1,2,-79,-72,0,15,44,0,1,-8,-13,5,0,0,D
0,1,1661.11230469,1723.8692627,1,0,-1,2,-78,-71,0,18,45,0,1,-10,-13,6,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-78,-71,0,20,46,1,1,-10,-13,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-78,-71,0,20,47,1,1,-10,-13,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-85,-77,0,20,48,1,1,-9,-15,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-89,-81,0,19,49,1,1,-9,-15,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-87,-79,0,21,45,1,1,-9,-15,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-89,-81,0,23,46,1,0,-9,-15,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-91,-83,0,22,47,1,0,-9,-15,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-95,-86,0,21,48,1,0,-9,-16,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-116,-107,0,19,49,1,0,-9,-16,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-127,-118,0,18,50,1,0,-9,-16,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-134,-125,0,18,51,1,0,-9,-16,7,0,0,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-131,-123,0,18,52,1,0,-9,-16,7,0,-1,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-132,-124,0,20,53,1,0,-11,-15,7,0,-2,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-128,-122,0,20,54,1,0,-11,-14,7,0,-2,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-132,-125,0,25,55,1,0,-11,-16,7,0,-2,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-124,-117,0,33,56,1,0,-11,-16,7,0,-2,D
1,1,1661.11230469,1723.8692627,3,0,0,4,-124,-117,0,33,57,1,0,-11,-16,7,0,-2,D
2,1,1661.11230469,1723.8692627,5,0,2,5,-118,-111,2,41,58,1,0,-12,-16,8,0,-3,D
2,1,1661.11230469,1723.8692627,5,0,2,5,-123,-115,2,40,59,1,0,-12,-17,8,0,-3,D
2,1,1661.11230469,1723.8692627,5,0,2,5,-132,-124,2,41,60,1,0,-12,-16,8,0,-3,D
2,1,1661.11230469,1723.8692627,4,0,1,4,-147,-139,1,38,61,1,0,-12,-16,8,0,-3,D
2,1,1661.11230469,1723.8692627,4,0,1,4,-147,-139,1,38,62,1,0,-12,-16,8,0,-3,D
