ht_goal,ht_elo,at_goal,at_elo,big_chance,shot,pass,final_3rd_pass,key_pass,result
0,1833.86450195,0,1700.27233887,0,0,0,0,0,W
0,1833.86450195,0,1700.27233887,0,0,4,-1,0,W
0,1833.86450195,0,1700.27233887,0,0,4,-5,0,W
0,1833.86450195,0,1700.27233887,0,0,6,-5,0,W
0,1833.86450195,0,1700.27233887,0,0,16,-5,0,W
0,1833.86450195,0,1700.27233887,0,1,24,-3,2,W
0,1833.86450195,0,1700.27233887,0,2,30,6,2,W
0,1833.86450195,0,1700.27233887,0,2,35,8,2,W
0,1833.86450195,0,1700.27233887,0,2,46,7,2,W
0,1833.86450195,0,1700.27233887,0,2,47,5,2,W
0,1833.86450195,0,1700.27233887,0,2,48,4,2,W
0,1833.86450195,0,1700.27233887,0,2,58,5,2,W
0,1833.86450195,0,1700.27233887,0,2,62,6,2,W
0,1833.86450195,0,1700.27233887,0,2,63,8,2,W
0,1833.86450195,0,1700.27233887,0,2,63,8,2,W
0,1833.86450195,0,1700.27233887,0,2,55,11,2,W
0,1833.86450195,0,1700.27233887,0,1,49,7,1,W
0,1833.86450195,0,1700.27233887,0,1,49,7,1,W
0,1833.86450195,0,1700.27233887,0,1,49,5,1,W
0,1833.86450195,0,1700.27233887,0,1,47,5,1,W
0,1833.86450195,0,1700.27233887,0,1,53,6,1,W
0,1833.86450195,0,1700.27233887,0,1,55,10,1,W
0,1833.86450195,0,1700.27233887,0,1,59,11,1,W
0,1833.86450195,0,1700.27233887,1,2,64,14,2,W
0,1833.86450195,0,1700.27233887,1,2,64,14,2,W
0,1833.86450195,0,1700.27233887,0,1,61,9,1,W
0,1833.86450195,0,1700.27233887,0,1,58,8,1,W
0,1833.86450195,0,1700.27233887,0,0,52,0,0,W
0,1833.86450195,0,1700.27233887,0,0,52,0,0,W
0,1833.86450195,0,1700.27233887,0,0,52,0,0,W
0,1833.86450195,0,1700.27233887,0,0,56,-2,0,W
0,1833.86450195,1,1700.27233887,0,-1,56,-2,0,W
0,1833.86450195,1,1700.27233887,0,-1,66,3,0,W
0,1833.86450195,1,1700.27233887,0,0,69,5,1,W
0,1833.86450195,1,1700.27233887,0,0,71,1,1,W
