Feature,Importance,Cumulative_Importance,Rank
ht_goal,0.11778392661056448,0.11778392661056448,1
ht_elo,0.11108169713129833,0.2288656237418628,2
at_goal,0.1090756648630958,0.33794128860495865,3
at_elo,0.0950042740140497,0.43294556261900835,4
big_chance,0.033274255120562646,0.466219817739571,5
shot,0.030658555604829843,0.4968783733444008,6
long_pass,0.029490758993519696,0.5263691323379205,7
pass,0.02941564538805152,0.555784777725972,8
short_pass,0.028827153216396017,0.5846119309423681,9
final_3rd_pass,0.027977291685501518,0.6125892226278696,10
dispossessed,0.02696116027653179,0.6395503829044015,11
key_pass,0.026167247184632897,0.6657176300890344,12
interception,0.02612633914017398,0.6918439692292083,13
clearance,0.025752871856832605,0.7175968410860409,14
shot_penalty_box,0.025729465948800573,0.7433263070348415,15
tackle,0.025559059169156136,0.7688853662039976,16
cross,0.02524180079144865,0.7941271669954463,17
turnover,0.025234585904793883,0.8193617529002402,18
shot_open_play,0.024865596296819253,0.8442273491970594,19
duel,0.024851269859900042,0.8690786190569595,20
minute,0.024177914500599897,0.8932565335575594,21
corner,0.021781308953495355,0.9150378425110548,22
offside,0.02174839056730479,0.9367862330783596,23
shot_6_yard_box,0.02095926517764699,0.9577454982560066,24
shot_fast_break,0.01723302671572127,0.9749785249717279,25
yellow,0.01516951999012216,0.99014804496185,26
half,0.0053973340699511865,0.9955453790318012,27
red,0.004454620968198882,1.0,28
