Feature,SHAP_Importance,Cumulative_Importance,Rank
ht_goal,0.04932038068701682,0.04932038068701682,1
at_goal,0.03855843773975169,0.0878788184267685,2
ht_elo,0.0348116577938612,0.1226904762206297,3
at_elo,0.02638598414204687,0.14907646036267658,4
big_chance,0.013296500197876924,0.1623729605605535,5
shot,0.012720814053313862,0.17509377461386735,6
pass,0.01008866915052512,0.18518244376439247,7
shot_penalty_box,0.009513874626605927,0.1946963183909984,8
short_pass,0.009312470034078051,0.20400878842507647,9
key_pass,0.009168884781160956,0.21317767320623743,10
minute,0.00863967858323555,0.22181735178947298,11
dispossessed,0.008400502012841204,0.2302178538023142,12
shot_open_play,0.00821120850402115,0.23842906230633534,13
final_3rd_pass,0.007723557409136086,0.24615261971547142,14
shot_6_yard_box,0.006765016673726099,0.2529176363891975,15
long_pass,0.006174255588757898,0.2590918919779554,16
cross,0.005904919933166107,0.2649968119111215,17
clearance,0.005825391431027953,0.27082220334214946,18
tackle,0.005640032032724336,0.2764622353748738,19
turnover,0.005551055028462453,0.2820132904033362,20
half,0.005409870527941514,0.28742316093127773,21
interception,0.005398993775026287,0.292822154706304,22
shot_fast_break,0.00506076229514712,0.29788291700145114,23
corner,0.0049607959669625105,0.30284371296841367,24
duel,0.004508548926934945,0.3073522618953486,25
yellow,0.0042992089706162025,0.3116514708659648,26
offside,0.004272091024474256,0.315923561890439,27
red,0.0006287491485001694,0.3165523110389392,28
