Classifier,rps_score,rps_score_std,rps_loss,rps_loss_std,brier_score,brier_score_std,log_loss,log_loss_std,accuracy,accuracy_std
DecisionTreeClassifier,0.9895916779199379,0.0006824552220066242,0.01040832208006226,0.0006824552220066242,0.03128333066306562,0.0020876273307634356,0.5637827636383391,0.037622857957842544,0.9843583346684672,0.0010438136653817178
KNeighborsClassifier,0.989529788743677,0.0003090683408107684,0.010470211256322848,0.0003090683408107684,0.030079055182989634,0.0007965839684086075,0.1296925762031324,0.007323821808949845,0.9789338765420798,0.0007476500472215992
RandomForestClassifier,0.9893742343961007,0.00022723360901803704,0.010625765603899263,0.000227233609018037,0.030991492069304887,0.0005807162895882733,0.08640244431697805,0.0010144399619523706,0.9895447575015449,0.0006162615010888806
XGBClassifier,0.9600532650947571,0.0005993064260110259,0.0399467833340168,0.0005993064260110259,0.11814498497298405,0.002247825335443091,0.2453542577327184,0.0034544455723786107,0.9475338170332563,0.00214295943493134
GradientBoostingClassifier,0.8801580690565988,0.0005707767965467795,0.11984193094340126,0.0005707767965467795,0.3679187264385696,0.001310682190580989,0.6416734585676569,0.002042541834735567,0.7297269460529627,0.0010499211465353063
QuadraticDiscriminantAnalysis,0.8634330633317159,0.0006907188195422823,0.1365669366682841,0.0006907188195422823,0.4173502991035659,0.0016436974129971978,0.7322390795284154,0.0038463112580770483,0.6831818910073013,0.0017167974985006042
LogisticRegression,0.8611027697520914,0.000655558501919179,0.13889723024790854,0.000655558501919179,0.43027129403313874,0.0013988068711904417,0.7404966790239143,0.002752783943621206,0.673859604952965,0.001331059241077178
LinearDiscriminantAnalysis,0.8576905369876794,0.0004938190902206632,0.14230946301232056,0.0004938190902206632,0.44316237921119866,0.0010446633285101999,0.76319920238546,0.0019355819509517499,0.662335492435513,0.0006878941501257321
GaussianNB,0.8015484480721824,0.0015044474957635094,0.19845155192781763,0.0015044474957635094,0.592099500109268,0.004028441750936832,1.256770707028801,0.01515483990622308,0.5596186857705249,0.002646888149255423
AdaBoostClassifier,0.7778110240569867,0.00012415389407974858,0.22218897594301343,0.00012415389407974858,0.6283516274710205,0.0002977627599661789,1.0423921696639546,0.0004143555120212862,0.6628458950355908,0.0022220048785634695
